place_name,district,latitude,longitude,category,avg_cost,best_season,trip_duration,rating,popularity
Kudremukh Peak,Chikkamagaluru,13.1251,75.2641,adventure,200,winter,1,4.9,94
Hirekolale Lake,Chikkamagaluru,13.3421,75.7141,nature,0,winter,1,4.5,88
Jhari Falls,Chikkamagaluru,13.4211,75.7741,nature,100,monsoon,1,4.6,90
Kemmangundi,Chikkamagaluru,13.5421,75.7541,nature,50,winter,1,4.6,85
Bhadra Wildlife Sanctuary,Chikkamagaluru,13.6821,75.6421,nature,400,winter,1,4.5,82
Z Point,Chikkamagaluru,13.5511,75.7641,adventure,0,winter,1,4.4,78
Kallathigiri Falls,Chikkamagaluru,13.5341,75.8241,temple,0,monsoon,1,4.3,75
Sringeri Sharada Peetham,Chikkamagaluru,13.4121,75.2541,temple,0,all,1,4.9,96
Horanadu Annapoorneshwari,Chikkamagaluru,13.2721,75.3441,temple,0,all,1,4.8,94
Belavadi Temple,Chikkamagaluru,13.2841,75.9941,heritage,0,all,1,4.7,70
Amrutesvara Temple,Chikkamagaluru,13.5121,75.8241,heritage,0,all,1,4.6,65
Ayyanakere Lake,Chikkamagaluru,13.4741,75.9241,nature,0,winter,1,4.2,60
Sirimane Falls,Chikkamagaluru,13.4541,75.1841,nature,50,monsoon,1,4.4,68
Kudremukh National Park,Chikkamagaluru,13.2131,75.2534,nature,200,winter,2,4.7,85
Kalasa,Chikkamagaluru,13.2341,75.3641,temple,0,all,1,4.5,72
Ballalarayana Durga,Chikkamagaluru,13.1421,75.4041,adventure,0,winter,1,4.6,62
Manikyadhara Falls,Chikkamagaluru,13.4341,75.7641,nature,0,monsoon,1,4.1,70
Deviramma Temple,Chikkamagaluru,13.4241,75.8241,temple,0,all,1,4.4,55
Kyathanamakki,Chikkamagaluru,13.2541,75.3241,adventure,300,winter,1,4.7,58
Kottigehara,Chikkamagaluru,13.1341,75.5241,nature,0,monsoon,1,4.3,50
Kodanda Rama Temple,Chikkamagaluru,13.3141,75.7741,temple,0,all,1,4.3,48
Galikere Lake,Chikkamagaluru,13.4341,75.7541,nature,0,winter,1,4.2,45
Gokarna Main Beach,Uttara Kannada,14.5441,74.3141,beach,0,winter,1,4.5,95
Om Beach,Uttara Kannada,14.5141,74.3241,beach,0,winter,1,4.7,98
Kudle Beach,Uttara Kannada,14.5241,74.3141,beach,0,winter,1,4.6,94
Murudeshwar Temple,Uttara Kannada,14.0941,74.4841,temple,0,all,1,4.9,96
Jog Falls,Uttara Kannada,14.2241,74.8141,nature,50,monsoon,1,4.9,98
Dandeli Rafting,Uttara Kannada,15.2441,74.6241,adventure,1500,summer,1,4.9,90
Yana Rocks,Uttara Kannada,14.5941,74.5641,adventure,0,winter,1,4.7,85
Murudeshwar Beach,Uttara Kannada,14.0941,74.4841,beach,0,winter,1,4.4,92
Sathodi Falls,Uttara Kannada,14.9341,74.8741,nature,0,monsoon,1,4.6,80
Unchalli Falls,Uttara Kannada,14.4141,74.7541,nature,0,monsoon,1,4.5,78
Magod Falls,Uttara Kannada,14.8541,74.7641,nature,0,monsoon,1,4.4,75
Sirsi Marikamba Temple,Uttara Kannada,14.6241,74.8441,temple,0,all,1,4.7,82
Sahasralinga,Uttara Kannada,14.6141,74.8941,heritage,0,winter,1,4.5,70
Kavala Caves,Uttara Kannada,15.1441,74.3541,adventure,100,winter,1,4.3,65
Syntheri Rocks,Uttara Kannada,15.2841,74.5841,nature,50,winter,1,4.4,68
Karwar Warship Museum,Uttara Kannada,14.8141,74.1241,heritage,50,all,1,4.4,75
Rabindranath Tagore Beach,Uttara Kannada,14.8141,74.1241,beach,0,winter,1,4.3,78
Half Moon Beach,Uttara Kannada,14.5141,74.3341,beach,0,winter,1,4.5,70
Paradise Beach,Uttara Kannada,14.5041,74.3441,beach,0,winter,1,4.6,72
Mirjan Fort,Uttara Kannada,14.4841,74.4141,heritage,0,winter,1,4.5,80
Apsarakonda Falls,Uttara Kannada,14.2641,74.4341,nature,0,monsoon,1,4.3,62
Idagunji Ganapathi Temple,Uttara Kannada,14.3041,74.4841,temple,0,all,1,4.7,75
Ulavi Temple,Uttara Kannada,15.0141,74.5141,temple,0,all,1,4.5,65
Banavasi Madhukeshwara,Uttara Kannada,14.5333,75.0167,heritage,0,all,1,4.6,60
Vibhuti Falls,Uttara Kannada,14.5833,74.6333,nature,0,monsoon,1,4.4,72
Panambur Beach,Mangalore,12.9341,74.8141,beach,50,all,1,4.4,92
Tannirbhavi Beach,Mangalore,12.8941,74.8141,beach,50,all,1,4.3,88
Mangaladevi Temple,Mangalore,12.8441,74.8441,temple,0,all,1,4.6,85
Kadri Manjunatha Temple,Mangalore,12.8841,74.8541,temple,0,all,1,4.5,82
St. Aloysius Chapel,Mangalore,12.8741,74.8441,heritage,50,all,1,4.7,80
Pilikula Nisargadhama,Mangalore,12.9241,74.8941,nature,100,all,1,4.4,78
Kukke Subramanya Temple,Mangalore,12.6641,75.6141,temple,0,all,1,4.9,96
Dharmasthala Temple,Mangalore,12.9441,75.3841,temple,0,all,1,4.9,97
Bahubali Statue,Mangalore,12.9541,75.3941,heritage,0,all,1,4.7,85
Ullal Beach,Mangalore,12.8041,74.8441,beach,0,winter,1,4.1,72
Someshwara Beach,Mangalore,12.7941,74.8541,beach,0,winter,1,4.2,75
Kateel Temple,Mangalore,13.0141,74.8541,temple,0,all,1,4.8,90
Sultan Battery,Mangalore,12.8941,74.8241,heritage,20,all,1,4,65
Kudroli Temple,Mangalore,12.8741,74.8341,temple,0,all,1,4.7,88
Surathkal Beach,Mangalore,13.0041,74.7941,beach,0,winter,1,4.3,70
Lighthouse Hill,Mangalore,12.8741,74.8441,nature,0,all,1,4.1,60
Sasihithlu Beach,Mangalore,13.0641,74.7841,beach,0,winter,1,4.5,65
Jamalabad Fort,Mangalore,13.0241,75.3141,adventure,0,winter,1,4.2,50
Venur Bahubali,Mangalore,13.0141,75.1441,heritage,0,all,1,4.5,58
Charmadi Ghat,Mangalore,13.0641,75.4541,nature,0,monsoon,1,4.8,85
Kote Beach,Mangalore,12.78,74.85,beach,0,winter,1,4,40
Polali Temple,Mangalore,12.9341,74.9541,temple,0,all,1,4.7,68
Bappanadu Temple,Mangalore,13.1141,74.8141,temple,0,all,1,4.5,55
Puttur Temple,Mangalore,12.7241,75.2141,temple,0,all,1,4.6,62
Milagres Church,Mangalore,12.8641,74.8441,temple,0,all,1,4.4,55
Malpe Beach,Udupi,13.3486,74.7042,beach,50,winter,1,4.6,95
St. Mary's Island,Udupi,13.3536,74.6736,beach,300,winter,1,4.8,92
Udupi Krishna Temple,Udupi,13.3408,74.7518,temple,0,all,1,4.9,97
Kapur Beach,Udupi,13.22,74.74,beach,0,winter,1,4.5,88
Maravanthe Beach,Udupi,13.71,74.64,beach,0,winter,1,4.7,90
Kodi Beach,Udupi,13.51,74.68,beach,0,winter,1,4.3,75
Karkala Bahubali,Udupi,13.21,74.99,heritage,0,all,1,4.6,82
Varanga Jain Temple,Udupi,13.36,75.05,temple,100,all,1,4.7,80
Murudeshwar,Udupi,14.09,74.48,temple,0,all,1,4.9,94
Mookambika Temple Kollur,Udupi,13.86,74.81,temple,0,all,1,4.8,96
Someshwara Wildlife Sanctuary,Udupi,13.51,75.06,nature,100,winter,1,4.4,65
Anegudde Temple,Udupi,13.56,74.7,temple,0,all,1,4.5,78
Delta Point,Udupi,13.38,74.69,beach,0,all,1,4.6,85
Padubidri Blue Flag Beach,Udupi,13.13,74.77,beach,50,winter,1,4.7,88
Ottinene Sunset Point,Udupi,13.91,74.63,nature,0,winter,1,4.5,72
Trasi Beach,Udupi,13.67,74.66,beach,0,winter,1,4.2,60
Chaturmukha Basadi,Udupi,13.21,74.99,heritage,0,all,1,4.5,68
Barkur Ruins,Udupi,13.47,74.75,heritage,0,all,1,4,50
Coin Museum,Udupi,13.34,74.75,heritage,0,all,1,4.1,55
Pajaka Kshetra,Udupi,13.29,74.79,temple,0,all,1,4.3,62
Mattur Beach,Udupi,13.3,74.72,beach,0,winter,1,4.1,45
Malpe Sea Walk,Udupi,13.35,74.7,beach,0,all,1,4.5,85
Manipal Lake,Udupi,13.35,74.79,nature,20,all,1,4.2,70
Hastha Shilpa Heritage,Udupi,13.35,74.79,heritage,200,all,1,4.6,65
Kaup Lighthouse,Udupi,13.22,74.74,beach,30,winter,1,4.8,90
Gol Gumbaz,Vijayapura,16.8341,75.7141,heritage,50,winter,1,4.9,98
Ibrahim Rauza,Vijayapura,16.8241,75.7041,heritage,50,winter,1,4.8,90
Jumma Masjid,Vijayapura,16.8241,75.7241,heritage,0,all,1,4.5,82
Barakaman,Vijayapura,16.8241,75.7141,heritage,0,winter,1,4.4,75
Malik-e-Maidan,Vijayapura,16.8341,75.7041,heritage,0,all,1,4.3,72
Upli Buruz,Vijayapura,16.8341,75.7041,heritage,0,all,1,4.1,65
Asar Mahal,Vijayapura,16.8241,75.7241,heritage,0,all,1,4,60
Gagan Mahal,Vijayapura,16.8241,75.7141,heritage,0,all,1,4,58
Sat Manzil,Vijayapura,16.8241,75.7141,heritage,0,all,1,3.9,50
Taj Bawdi,Vijayapura,16.8241,75.7041,heritage,0,all,1,3.8,48
Mehtar Mahal,Vijayapura,16.8241,75.7241,heritage,0,all,1,4.2,55
Shivagiri,Vijayapura,16.8541,75.7441,temple,0,all,1,4.6,85
Siddeshwara Temple,Vijayapura,16.8241,75.7141,temple,0,all,1,4.5,78
Almatti Dam,Vijayapura,16.3341,75.8841,nature,50,monsoon,1,4.5,88
Kudalasangama,Vijayapura,16.2141,75.9941,temple,0,all,1,4.8,92
Basavana Bagewadi,Vijayapura,16.5741,75.9841,temple,0,all,1,4.4,70
Torvi Temple,Vijayapura,16.8141,75.6641,temple,0,all,1,4.2,52
Afzal Khan Cenotaph,Vijayapura,16.8241,75.7441,heritage,0,all,1,3.7,40
Bijapur Fort,Vijayapura,16.8341,75.7141,heritage,0,all,1,4,62
Anand Mahal,Vijayapura,16.8241,75.7141,heritage,0,all,1,3.9,48
Arkilla,Vijayapura,16.8241,75.7141,heritage,0,all,1,3.8,42
Jod Gumbaz,Vijayapura,16.8241,75.7141,heritage,0,all,1,4.1,55
Navraspur Ruins,Vijayapura,16.8141,75.6741,heritage,0,all,1,4,50
Chand Bawdi,Vijayapura,16.82,75.71,heritage,0,all,1,3.6,35
Landa Kasab Cannon,Vijayapura,16.83,75.7,heritage,0,all,1,3.8,40
Bidar Fort,Bidar,17.9271,77.5255,heritage,0,all,1,4.7,90
Mahmud Gawan Madrasa,Bidar,17.915,77.518,heritage,0,all,1,4.5,80
Rangin Mahal,Bidar,17.928,77.526,heritage,0,all,1,4.6,78
Guru Nanak Jhira Sahib,Bidar,17.918,77.502,temple,0,all,1,4.8,92
Narasimha Jhira Cave Temple,Bidar,17.935,77.545,temple,0,all,1,4.7,88
Bahmani Tombs,Bidar,17.92,77.58,heritage,0,winter,1,4.4,75
Papnash Shiva Temple,Bidar,17.9,77.5,temple,0,all,1,4.3,65
Chaubara,Bidar,17.914,77.517,heritage,0,all,1,4,60
Tarkash Mahal,Bidar,17.9275,77.5258,heritage,0,all,1,4.2,55
Gagan Mahal Bidar,Bidar,17.9272,77.5252,heritage,0,all,1,4.1,52
Solah Khamba Mosque,Bidar,17.926,77.524,heritage,0,all,1,4.5,70
Barid Shahi Tombs,Bidar,17.91,77.5,heritage,0,all,1,4.2,62
Basavakalyan Fort,Bidar,17.87,76.95,heritage,0,all,1,4.6,75
Anubhav Mantapa,Bidar,17.875,76.945,heritage,0,all,1,4.5,68
Basaveshwara Temple,Bidar,17.872,76.948,temple,0,all,1,4.4,65
Deva Deva Vana,Bidar,17.95,77.55,nature,20,all,1,4,50
Karanja Dam,Bidar,17.85,77.35,nature,0,monsoon,1,4.1,55
Papanashini Teertha,Bidar,17.905,77.505,nature,0,all,1,4,42
Jharani Narasimha Cave,Bidar,17.9355,77.5455,adventure,0,all,1,4.6,85
Bidar Handicraft Center,Bidar,17.91,77.51,heritage,500,all,1,4.3,58
Chaukhandi,Bidar,17.925,77.575,heritage,0,winter,1,4.4,52
Manik Prabhu Temple,Bidar,17.75,77.2,temple,0,all,1,4.5,60
Humnabad Veerabhadreshwara,Bidar,17.77,77.13,temple,0,all,1,4.6,68
Revaana Siddeshwara Temple,Bidar,17.9,77.51,temple,0,all,1,4.1,40
Vilaspur Lake,Bidar,17.95,77.52,nature,0,monsoon,1,3.9,35
Badami Cave Temples,Bagalkot,15.9125,75.6795,heritage,50,winter,1,4.9,98
Pattadakal,Bagalkot,15.949,75.8164,heritage,50,winter,1,4.9,95
Aihole,Bagalkot,16.021,75.8824,heritage,50,winter,1,4.8,92
Agastya Lake,Bagalkot,15.918,75.682,nature,0,winter,1,4.5,80
Badami Fort,Bagalkot,15.922,75.688,heritage,0,winter,1,4.4,75
Banashankari Temple,Bagalkot,15.882,75.702,temple,0,all,1,4.7,85
Mahakuta Temples,Bagalkot,15.932,75.726,temple,0,all,1,4.6,82
Bhootnath Temples,Bagalkot,15.919,75.684,temple,0,all,1,4.7,84
Mallikarjuna Temples,Bagalkot,15.917,75.683,temple,0,all,1,4.3,65
Kudalasangama Temple,Bagalkot,16.214,75.996,temple,0,all,1,4.8,90
Almatti Dam,Bagalkot,16.33,75.89,nature,20,monsoon,1,4.5,88
Rock-cut Elephant,Bagalkot,16.022,75.883,heritage,0,winter,1,4,50
Durga Temple Aihole,Bagalkot,16.019,75.881,heritage,0,all,1,4.7,82
Lad Khan Temple,Bagalkot,16.018,75.88,heritage,0,all,1,4.5,70
Virupaksha Pattadakal,Bagalkot,15.948,75.815,heritage,0,all,1,4.8,85
Ravana Phadi Cave,Bagalkot,16.025,75.885,heritage,0,all,1,4.4,60
Meguti Jain Temple,Bagalkot,16.02,75.89,heritage,0,all,1,4.3,58
Jain Temple Badami,Bagalkot,15.913,75.68,heritage,0,all,1,4.2,55
Huchappayya Math,Bagalkot,16.015,75.875,heritage,0,all,1,4.1,48
Siddeshwara Temple,Bagalkot,16.18,75.7,temple,0,all,1,4,52
Galaganatha Temple,Bagalkot,15.945,75.812,heritage,0,all,1,4.4,55
Sangameshwara Temple,Bagalkot,15.947,75.814,temple,0,all,1,4.3,50
Huchimalli Temple,Bagalkot,16.023,75.884,heritage,0,all,1,4.2,45
Bagalkot Museum,Bagalkot,15.915,75.678,heritage,20,all,1,4.1,40
Malegitti Shivalaya,Bagalkot,15.925,75.685,temple,0,all,1,4.4,58
Jog Falls,Shivamogga,14.228,74.8114,nature,50,monsoon,1,4.9,100
Kodachadri,Shivamogga,13.858,74.87,adventure,500,winter,1,4.8,92
Sakrebyle Elephant Camp,Shivamogga,13.882,75.523,nature,100,winter,1,4.6,88
Gajanur Dam,Shivamogga,13.885,75.515,nature,0,monsoon,1,4.3,75
Lion and Tiger Safari,Shivamogga,13.985,75.555,adventure,100,winter,1,4.4,82
Kuvempu Memorial,Shivamogga,13.593,75.325,heritage,50,all,1,4.8,85
Agumbe Sunset Point,Shivamogga,13.51,75.09,nature,0,winter,1,4.7,94
Barkana Falls,Shivamogga,13.52,75.11,nature,0,monsoon,1,4.5,70
Kavaledurga Fort,Shivamogga,13.715,75.125,adventure,0,winter,1,4.6,68
Keladi Temple,Shivamogga,14.218,75.013,heritage,0,all,1,4.7,72
Ikkeri Aghoreshwara,Shivamogga,14.125,75.015,heritage,0,all,1,4.7,74
Sigandur Chowdeshwari,Shivamogga,14.118,74.843,temple,100,all,1,4.8,90
Sharavathi Camp,Shivamogga,14.155,74.852,adventure,2000,summer,1,4.5,80
Mandagadde Bird Sanctuary,Shivamogga,13.742,75.451,nature,50,winter,1,4.2,65
Bhadra Dam,Shivamogga,13.711,75.635,nature,0,monsoon,1,4.4,78
Honnemaradu,Shivamogga,14.185,74.885,adventure,500,summer,1,4.6,76
Shivappa Nayaka Palace,Shivamogga,13.928,75.572,heritage,20,all,1,4.1,55
Kudli Sangama,Shivamogga,13.922,75.584,temple,0,all,1,4.5,60
Ambuthirtha,Shivamogga,13.585,75.318,temple,0,all,1,4.4,52
Achakanya Falls,Shivamogga,13.743,75.115,nature,0,monsoon,1,4.1,48
Dabbe Falls,Shivamogga,14.121,74.825,nature,0,monsoon,1,4.4,62
Linganamakki Dam,Shivamogga,14.182,74.841,nature,0,monsoon,1,4.3,70
Jogimatti,Shivamogga,14.225,74.815,nature,0,all,1,4,50
Tavarekoppa Safari,Shivamogga,13.987,75.558,nature,100,winter,1,4.3,65
Nagavara Lake,Shivamogga,13.924,75.564,nature,0,all,1,3.8,40
Chitradurga Fort,Chitradurga,14.225,76.4,heritage,25,all,1,4.8,95
Chandravalli Caves,Chitradurga,14.205,76.395,heritage,0,all,1,4.6,82
Vani Vilas Sagar Dam,Chitradurga,13.88,76.48,nature,0,monsoon,1,4.7,88
Jogimatti Hill,Chitradurga,14.15,76.4,nature,0,winter,1,4.4,75
Murugha Matha,Chitradurga,14.23,76.39,temple,0,all,1,4.5,70
Adumalleshwara Temple,Chitradurga,14.19,76.41,temple,0,all,1,4.2,60
Akkathangi Kola,Chitradurga,14.226,76.402,nature,0,all,1,4.1,55
Timmanna Nayaka Fort,Chitradurga,14.224,76.401,heritage,0,all,1,4,50
Ekanatheshwari Temple,Chitradurga,14.2255,76.4005,temple,0,all,1,4.3,58
Holalkere Ganesha,Chitradurga,14.03,76.19,temple,0,all,1,4.5,65
Neerthadi Rameshwara,Chitradurga,14.2,76.1,temple,0,all,1,4.2,45
Gayathri Dam,Chitradurga,13.75,76.45,nature,0,monsoon,1,4.1,52
Sirigere Matha,Chitradurga,14.35,76.25,temple,0,all,1,4.4,58
Panchavati,Chitradurga,14.21,76.41,nature,0,all,1,3.8,40
Obavva Kindi,Chitradurga,14.2252,76.4008,heritage,0,all,1,4.7,85
Hidimbeshwara Temple,Chitradurga,14.2265,76.4015,temple,0,all,1,4.4,50
Kudli Sangama,Chitradurga,14.4,76.3,nature,0,all,1,4,42
Himavat Kedaya,Chitradurga,14.16,76.42,nature,0,monsoon,1,4.2,48
Ingaladhal Caves,Chitradurga,14.18,76.45,adventure,0,all,1,3.7,35
Dasharatha Rameshwara,Chitradurga,13.95,76.55,temple,0,all,1,4.3,52
Molakalmuru Silk Hub,Chitradurga,14.73,76.75,heritage,500,all,1,4.2,60
Jatayu Rock,Chitradurga,14.7,76.78,heritage,0,all,1,4.1,45
Nayakanahatti Temple,Chitradurga,14.45,76.82,temple,0,all,1,4.5,65
Dharmapura Dam,Chitradurga,13.78,76.8,nature,0,monsoon,1,3.9,40
Bommagondanakere,Chitradurga,14.6,76.85,nature,0,all,1,3.8,32
Chennakeshava Belur,Hassan,13.162,75.8596,heritage,50,all,1,4.9,98
Hoysaleswara Halebidu,Hassan,13.213,75.995,heritage,50,all,1,4.9,96
Shravanabelagola,Hassan,12.857,76.486,temple,0,all,1,4.9,95
Shettihalli Church,Hassan,12.975,76.045,heritage,0,winter,1,4.7,88
